Name,Empty,Date,Director,Notes,Rate,Year,Extra
Cabaret,,"January 5, 2023",Bob Fosse,,8.5,1972,
Labyrinth,"David Bowie, Jennifer Connelly","January 7, 2023",Jim Henson,,6.5,1986,
"Reservoir Dogs ","Tim Roth, Steven Vincent Buscemi","January 7, 2023",Quentin Tarantino,,3.5,1992,
Tokyo Story,原節子,"January 8, 2023",小津安二郎,「我很自私，並沒有如你們所想的常常想起賢三，甚至我常常會忘記他。」最後一段告白很感人。家庭與孝順概念的式微？傳統價值慢慢消逝，也是沒有辦法的事情。,9.4,1953,
Phantom Thread,Daniel Day Lewis,"January 9, 2023",Paul Thomas Anderson,,6.5,2017,
Addams Family Values,,"January 10, 2023",Barry Sonnenfeld,,7.48,1993,
The Addams Family,,"January 3, 2023",Barry Sonnenfeld,,7,1991,
Alice in the Wonderland S2,,"January 2, 2023",,,,2022,
Road to Perdition,Tom Hank,"January 13, 2023",Sam Mendes,經濟大蕭條時期芝加哥黑道的hitman幫妻兒復仇,7,2002,
The Grandmaster / 一代宗師,,"January 14, 2023",Kar Wai Wong 王家衛,,7.5,2013,
Casablanca,https://www.amazon.com/prime-video/actor/Ingrid-Bergman/nm0000006/ref=atv_dp_md_pp https://www.amazon.com/prime-video/actor/Humphrey-Bogart/nm0000007/ref=atv_dp_md_pp,"January 15, 2023",Michael Curtiz,愛情線很動人，假裝不在乎的主角很Q,8,1943,
Vanilla Sky,,"August 6, 2022",Cameron Crowe,,8,2001,
咒,,"August 7, 2022",柯孟融,,6.5,2022,
師父,,"July 28, 2022",徐浩峰,,,2015,
Clueless,,"November 21, 2022",,,,1995,Alicia Silverstone
凜冬烈火：烏克蘭自由之戰,,"February 28, 2022",,,6.5,2015,
The Day I Met El Chapo: The Kate Del Castillo Story,,"March 11, 2022",Kate Del Castillo,,6,2017,Documentary
Cooking with Paris,,"March 6, 2022",,,5,2021,
El Camino,,"May 14, 2022",Vince Gilligan,,3.5,2019,續命之徒：絕命毒師電影
Sleepers,,"March 27, 2022",Barry Levinson,,,1996,1960- Hell’s Kitchen
財閥家的小兒子,,"December 20, 2022",,,,2022,宋仲基
Swann in Love,,"May 28, 2022",Volker Schlöndorff,,,1984,往事追憶錄
Irish Man,,"January 3, 2022",Martin Scorsese,,8,2019,I Heard You Paint Houses
鄧不利多的秘密,,"April 30, 2022",,,3.5,2022,
Don’t Look Up,,"January 16, 2022",Adam McKay,,8.5,2021,#剪接神 #Satire
Cowboy Bebop,,"March 25, 2022","日升動畫, 萬代影視",,7.5,1998,星際牛仔
Decision to Leave,,"August 6, 2022",Park Chan Wook 朴贊郁,,8.5,2022,
World’s Most Wanted,,"March 12, 2022",,,4,2020,Documentary
"Love, Death, Robot S3",,"May 20, 2022",,,4,2022,
The Worst Person in the World,,"February 23, 2022",Joachim Trier,,8,2021,
Spycraft,,"March 8, 2022",,,5,2021,
Marie Antoinette,,"November 14, 2022",Sophia Coppola,,7,2006,
Fear City: New York vs The Mafia,,"March 8, 2022",,,6,2020,
Meek’s Cutoff,,"March 29, 2022",Kelly Reichardt,,8,2010,米克的近路
Ali Wong: Don Wong,,"March 5, 2022",Ali Wong,,8,2022,#低俗 #爛人 #女性
Better Call Saul S6,,"May 23, 2022","Vince Gilligan, Peter Gould",,9.5,2022,
諧星乘車買咖啡,,"February 21, 2022",,,3.25,2012,
"Everything Everywhere All At Once ",,"April 24, 2022","Daniel Kwan (關家永）, Daniel Scheinert",,7.5,2022,媽的多重宇宙
頭七,,"April 1, 2022",,,1,2022,
"The Gangster, The Cop, The Devil",,"August 1, 2022",李元泰,,,2019,
Drug Lords,,"March 15, 2022",,,6.5,2018,Documentary
Top Gun 2,,"June 4, 2022",,,7,2022,
讓子彈飛,,"November 22, 2022",姜文,,10,2010,
傑瑞·史菲德：23 小時殺時間,,"February 27, 2022",,,,2020,
傑瑞·史菲德：我再說最後一次,,"March 5, 2022",,,3,1998,
Bojack Horseman,,"December 19, 2022",,,,2014,
Inside the World’s Toughest Prisons S1-S6,,"October 17, 2022",,,,2016 - 2022,Documentary
傑瑞·史菲德哪一位,,"February 28, 2022",,,,2017,
Drive My Car,,"February 15, 2022",濱口竜介,,8,2021,
American Girl,,"March 26, 2022",阮鳳儀,,7,2021,美國女孩
海上花,,"January 17, 2021",侯孝賢,,,1998,#梁朝偉 #張愛玲 #吳語 #狹邪 #長三書寓 #飛機上
蜂巢的幽靈,,"April 11, 2021",Víctor Erice,,7.6,1973,
Alias Grace,,"August 12, 2021","D.https://en.wikipedia.org/wiki/Mary_Harron
W. https://en.wikipedia.org/wiki/Sarah_Polley",,8,2017,雙面葛蕾斯
Arrested Development,,"July 28, 2021",,,3.8,,
